name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020knn 226.5456375 14.1857111111111 226.5456256 14.1856323 226.5456062 14.1856162 0.2868407 True 0.3586769 True 0.0891266 True
2020kns 201.98804214309402 31.143704673917515 201.9871868 31.1444197 201.9871665 31.1443779 3.6839027 False 3.6266088 False 0.1631876 True
2020knt 203.62280642934195 32.0009356075677 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020knu 196.86124119617995 17.713971863965632 196.8611798 17.7139133 196.8613619 17.7126769 0.2979283 True 4.6803667 False 4.4949835 False
2020knv 140.6934650478319 32.354416676548674 -99.0000000 -99.0000000 140.6936982 32.3543567 -99.0000000 False 0.7410935 True -99.0000000 False
2020knw 227.01930894183658 -3.89769825411853 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020knx 213.59817370148306 -5.178335897904004 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020koa 186.35878845346656 8.949465559017593 186.3598443 8.9480815 186.3598651 8.9480756 6.2390113 False 6.3006494 False 0.0769842 True
2020kob 240.518062884391 33.2467488563155 240.5184540 33.2474695 240.5184121 33.2474675 2.8491322 False 2.7925723 False 0.1261431 True
2020koc 239.9521536598713 27.260574454660173 239.9520375 27.2605042 239.9520630 27.2604706 0.4495846 True 0.4733566 True 0.1459997 True
2020koe 241.539607107163 34.1147746973618 241.5395776 34.1142260 241.5395750 34.1142230 1.9774138 True 1.9884146 True 0.0131409 True
2020kof 190.15264166666663 10.056708333333335 190.1522799 10.0584356 190.1523275 10.0607674 6.3491294 False 14.6552024 False 8.3962055 False
2020koh 196.59516462279478 -3.690642175174912 196.5951229 -3.6910205 196.5951292 -3.6910114 1.3703475 True 1.3354244 True 0.0399162 True
