ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF19aacxwbr,No_TNS,None,-99.0,None
ZTF20aceahdj,No_TNS,None,-99.0,None
ZTF18abyjliv,No_TNS,None,-99.0,None
ZTF20aawxhwm,No_TNS,None,-99.0,None
ZTF18acuxypo,No_TNS,None,-99.0,None
ZTF20aahgfil,No_TNS,None,-99.0,None
ZTF18abttmvw,No_TNS,None,-99.0,None
ZTF19aaaqkbl,No_TNS,None,-99.0,None
ZTF20achutjv,No_TNS,None,-99.0,None
ZTF21aacbtay,No_TNS,None,-99.0,None
ZTF18aalujjg,No_TNS,None,-99.0,None
ZTF18acgrvgs,No_TNS,None,-99.0,None
ZTF20aamcqsn,No_TNS,None,-99.0,None
ZTF18aczbmvm,No_TNS,None,-99.0,None
ZTF18abwgoho,No_TNS,None,-99.0,None
ZTF19aanjkry,No_TNS,None,-99.0,None
ZTF21aajxjfi,Yes_TNS,None,-99.0,ZTF
ZTF20actlbos,No_TNS,None,-99.0,None
ZTF21aajfpwk,Yes_TNS,SN Ia,0.079139,ATLAS
ZTF20acfnuee,Yes_TNS,SN Ia,0.06,ALeRCE
ZTF21aagxmcs,Yes_TNS,SN Ia,0.085,ALeRCE
ZTF20aavecgw,No_TNS,None,-99.0,None
ZTF21aajbgex,Yes_TNS,None,-99.0,ALeRCE
ZTF18achmtel,No_TNS,None,-99.0,None
ZTF18acjqftf,No_TNS,None,-99.0,None
ZTF21aafkpnp,Yes_TNS,SN Ia,0.08,GaiaAlerts
ZTF19aavhwbp,Yes_TNS,None,-99.0,ZTF
ZTF21aahrnyj,No_TNS,None,-99.0,None
ZTF18aagrkka,No_TNS,None,-99.0,None
ZTF20actvrbc,Yes_TNS,None,-99.0,ATLAS
ZTF19aakptml,No_TNS,None,-99.0,None
ZTF20acpdvio,No_TNS,None,-99.0,None
ZTF20acjcxbx,Yes_TNS,None,-99.0,ALeRCE
ZTF21aagbeah,Yes_TNS,SN II,0.04,ALeRCE
ZTF19aaznlgg,No_TNS,None,-99.0,None
ZTF18aazcoof,No_TNS,None,-99.0,None
ZTF21aagmqiq,No_TNS,None,-99.0,None
ZTF20aaezgxi,No_TNS,None,-99.0,None
ZTF18abwsofs,No_TNS,None,-99.0,None
ZTF18abqplry,No_TNS,None,-99.0,None
ZTF20aahtgpt,No_TNS,None,-99.0,None
ZTF18aaqrazi,No_TNS,None,-99.0,None
ZTF20aafdtxe,No_TNS,None,-99.0,None
ZTF18actyspc,No_TNS,None,-99.0,None
ZTF19ablfmby,No_TNS,None,-99.0,None
ZTF19aaviczu,No_TNS,None,-99.0,None
ZTF20aczfwjj,Yes_TNS,SN Ia,0.042,ZTF
ZTF18aawzjuq,No_TNS,None,-99.0,None
ZTF18abcyewb,No_TNS,None,-99.0,None
