ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF18abyiusv,None,None,None,None,SN Ia,None,None,None,SN Ic,None
ZTF18abzpjae,None,None,SN II,None,None,None,SN Ia,None,SN IIn,SN Ia
ZTF18abzrwlx,None,None,None,None,None,None,None,None,None,None
ZTF18abzuwvh,None,None,None,None,None,None,None,None,None,SN II
ZTF18abzzfxf,None,None,None,None,None,SN Ia,None,None,None,None
ZTF18acahrug,None,None,None,None,None,None,SN Ia,None,None,None
ZTF18acaibel,None,None,None,None,None,SN Ia,SN Ia,None,None,None
ZTF18acajvnu,None,None,None,None,SN Ia,None,None,None,SN Ia,None
ZTF18acajwri,None,None,None,SN II,SN II,SN II,None,SN Ia,None,None
ZTF18acajzib,None,None,None,None,None,None,None,None,None,None
ZTF18acakbzo,None,None,None,None,None,None,None,None,None,None
ZTF18acalfts,None,None,None,None,None,None,None,SN Ia,None,SN Ia
ZTF18acanqyr,TDE,AGN,None,None,None,None,None,None,None,None
ZTF18acaqdaa,SN Ia,None,None,None,None,None,None,None,SN II,None
ZTF18acaucsw,None,None,None,None,None,None,SLSN-I,None,None,None
ZTF18acayzun,None,None,None,None,SN IIn,None,None,None,SN Ia,None
ZTF18acbuftp,SN Ia,None,None,None,None,SN I,None,SN Ia,SN Ia,SN Ibn
ZTF18acbuibx,None,None,None,None,None,None,None,SN Ia,None,None
ZTF18acbuvpb,None,None,None,None,None,None,None,None,None,None
ZTF18acbuwcq,SN Ia,None,None,SN Ia,None,SN Ia,None,None,None,None
ZTF18acbvgtu,None,None,None,None,None,None,None,None,None,SN Ia
ZTF18acbvkwl,None,None,None,None,None,None,None,SN Ia,None,None
ZTF18acbwabp,None,None,None,None,None,None,SN Ia,None,None,None
ZTF18acbwatp,None,None,SN Ia,None,None,SN Ia,None,None,None,None
ZTF18acbwgcd,None,None,None,None,SN I,None,None,SN Ia,None,None
ZTF18acbwgcu,None,SN Ia,None,None,None,None,None,None,None,None
ZTF18acbwgdk,None,None,None,None,None,None,None,None,None,None
