,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21aaxydav,ZTF21aaxydav,ZTF21aagtepb,ZTF18adbibui,ZTF21aaiblte,ZTF21abcwsws,ZTF20acuosjp,ZTF21aagsbvu,ZTF18aaftrfv,ZTF20abpmqnr,ZTFabc70894,ZTFabc47005,0,584.1808,619.4213,640.739,652.7053,653.7857,664.2804,667.1356,670.8181,673.4064,674.0051,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,None,None,None,None,None,None,None,None,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.022,-99.0,-99.0
ZTF21aamwzfi,ZTF21aamwzfi,ZTF21acgrmpf,ZTFabc97457,ZTFabc80304,ZTFabc94614,ZTFabc61438,ZTFabc16692,ZTFabc44597,ZTFabc53910,ZTFabc12349,ZTFabc97563,0,337.9281,415.1125,421.5385,429.7757,431.0324,435.8462,439.7195,445.744,445.9486,447.2567,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,None,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaridax,ZTF21aaridax,ZTFabc55827,ZTFabc65430,ZTFabc51339,ZTFabc29363,ZTFabc29568,ZTFabc45302,ZTFabc64984,ZTFabc82243,ZTFabc89621,ZTFabc76761,0,178.2416,184.6365,185.4309,195.5256,196.4407,202.8444,203.2835,203.6053,209.8758,212.0822,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN II,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acxzlrc,ZTF20acxzlrc,ZTFabc91301,ZTFabc91000,ZTFabc98093,ZTFabc27760,ZTFabc25453,ZTF20acwyihb,ZTFabc15485,ZTFabc06093,ZTFabc98495,ZTFabc62670,0,246.1783,246.291,247.6398,247.773,254.9214,255.8294,259.9011,263.0385,265.4087,265.9055,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,SN Ib,SN Ib,SN Ib,SN Ib,SN IIn,SN Ia,SN Ib,SN IIn,SN IIn,SN Ib,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.062157,-99.0,-99.0,-99.0,-99.0
ZTF21abwdasa,ZTF21abwdasa,ZTF21abcowbx,ZTFabc05493,ZTFabc12299,ZTFabc70807,ZTFabc76758,ZTFabc10837,ZTFabc01505,ZTFabc97226,ZTFabc31382,ZTFabc57619,0,366.2136,383.3131,383.8454,383.9172,384.4945,384.7214,384.8647,385.0106,388.4262,393.1627,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,TDE,TDE,TDE,TDE,TDE,TDE,TDE,TDE,TDE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpgnsn,ZTF20acpgnsn,ZTF21aaiarmq,ZTFabc46166,ZTF21aabvtqd,ZTFabc69885,ZTF21aagyclx,ZTFabc63057,ZTFabc94597,ZTFabc37747,ZTFabc92799,ZTFabc04925,0,239.2375,271.4026,272.5447,274.4575,275.4267,289.7624,290.7867,294.3581,297.3025,299.5586,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,SN Ib,SN Ia,SN Ib,SN Ib,0.036258,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpbdvm,ZTF20acpbdvm,ZTFabc90008,ZTF21abtuutw,ZTFabc17458,ZTFabc11121,ZTFabc51138,ZTFabc53102,ZTFabc52114,ZTFabc51363,ZTFabc52552,ZTFabc19284,0,241.276,242.3908,242.4632,250.0918,253.594,264.2879,281.0568,282.9359,283.228,294.5447,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN II,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ic,SN Ia,0.07389,-99.0,0.079,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20actfeym,ZTF20actfeym,ZTF21aavxruq,ZTFabc29811,ZTFabc31927,ZTFabc17393,ZTFabc58669,ZTF20acuixqv,ZTF21aagyvvs,ZTFabc88210,ZTFabc77282,ZTFabc63431,0,260.316,268.8354,304.4352,338.3947,347.1238,388.2508,392.3134,402.5107,411.1341,414.7431,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,None,SN Ia,SN Ic,SN Ic,0.055905,0.036,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20abnorit,ZTF20abnorit,ZTF21aapfjxe,ZTF21aarebcb,ZTF18adcawvn,ZTF19adcfimx,ZTF21aaiakdf,ZTFabc90149,ZTFabc60339,ZTFabc02645,ZTFabc47195,ZTFabc63505,0,463.8785,480.0662,524.2766,550.3801,553.9985,560.2586,560.7147,560.7784,561.0263,561.5001,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,None,None,None,None,None,None,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abrgxvz,ZTF21abrgxvz,ZTFabc98432,ZTFabc54118,ZTF21abcsyrz,ZTF20acuimtq,ZTFabc64050,ZTFabc83635,ZTFabc47634,ZTFabc88823,ZTF21aaogmvs,ZTF21aatizgv,0,416.8954,427.6684,428.3059,429.541,437.6651,445.7393,449.6327,463.0908,484.959,488.525,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,None,-99.0,-99.0,-99.0,-99.0,0.069,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aabvqlo,ZTF21aabvqlo,ZTFabc46664,ZTFabc02665,ZTFabc66358,ZTFabc22897,ZTFabc99452,ZTFabc01458,ZTFabc04238,ZTFabc08180,ZTFabc08271,ZTFabc19151,0,172.4436,176.5432,182.2585,182.5488,192.4219,199.5455,202.8062,204.6574,205.6336,206.3951,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN IIn,SN IIn,SN IIn,SN Ia,SN Ia,SN Ib,SN Ib,SN Ia,SN Ia-91T-like,SN Ia-91T-like,0.080178,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aazoger,ZTF21aazoger,ZTFabc07091,ZTFabc24579,ZTFabc80333,ZTFabc20186,ZTFabc21152,ZTFabc01712,ZTFabc96581,ZTFabc21329,ZTFabc81289,ZTFabc55497,0,272.4988,277.2565,277.6712,280.6851,307.0611,325.2006,326.0458,326.0959,327.3781,327.4537,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aatljwk,ZTF21aatljwk,ZTFabc97626,ZTFabc86075,ZTFabc79555,ZTFabc91956,ZTFabc72160,ZTF18acnncve,ZTFabc75240,ZTFabc38832,ZTFabc37330,ZTFabc41236,0,324.4985,326.3951,327.8076,336.4174,337.0657,337.4291,339.4241,341.935,342.1794,342.8134,No_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0445,-99.0,-99.0,-99.0,-99.0
ZTF20acovryd,ZTF20acovryd,ZTF21abzalvk,ZTF21aaltmvu,ZTFabc16388,ZTF18acyxxen,ZTF18aajjhkq,ZTF21aatbbjt,ZTFabc01329,ZTF19aaafldf,ZTFabc99792,ZTF20aclnplo,0,270.0965,273.8404,357.9181,377.1446,403.3654,408.4257,409.0901,410.249,410.8068,414.432,Yes_TNS,Yes_TNS,Yes_TNS,Fake,No_TNS,Yes_TNS,No_TNS,Fake,Yes_TNS,Fake,Yes_TNS,None,None,None,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,SN Ic,-99.0,-99.0,-99.0,-99.0,-99.0,0.07,-99.0,-99.0,-99.0,-99.0,0.0347
ZTF20aciqtvg,ZTF20aciqtvg,ZTF21aaqarsw,ZTF21aasaxdk,ZTF21aakffwa,ZTFabc81359,ZTFabc97795,ZTF20acihfol,ZTFabc61862,ZTFabc22877,ZTF21aaaovuq,ZTFabc02059,0,385.5064,459.6255,488.1011,489.2052,494.0015,499.281,520.5383,532.4664,536.4574,539.0055,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,None,None,SN Ia,None,SN II,SN II,None,SN II,SN Ia-91T-like,None,SN Ia,-99.0,-99.0,0.0875,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abainqp,ZTF21abainqp,ZTFabc51731,ZTF20acumekm,ZTFabc11968,ZTFabc82348,ZTFabc45922,ZTFabc90744,ZTFabc89875,ZTFabc18467,ZTFabc60560,ZTFabc62902,0,247.2862,257.0474,261.2995,267.4529,289.4456,289.4685,289.4729,289.4743,289.4901,289.5174,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia,SN Ia,SN Ia,SN II,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,SN Ic,-99.0,-99.0,0.057,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20achbkud,ZTF20achbkud,ZTF21abbzczm,ZTFabc69651,ZTFabc94278,ZTFabc85727,ZTFabc96722,ZTFabc87522,ZTFabc47746,ZTFabc75578,ZTFabc46051,ZTFabc35163,0,205.0171,217.6138,218.3608,221.3319,223.2158,223.2656,225.1165,227.3344,228.8474,229.7557,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,None,SN Ia-91T-like,SN Ia,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia,0.085,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aawxdbc,ZTF21aawxdbc,ZTF21aaglmln,ZTF21aceyrff,ZTFabc33744,ZTFabc18671,ZTF20aciloii,ZTFabc72315,ZTF20aclghkr,ZTFabc04250,ZTF20aciuftf,ZTFabc03045,0,157.8372,239.661,270.111,290.7316,303.631,305.8307,310.284,317.0269,320.0929,321.9491,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,SN Ia,None,None,SN Ia,SN II,None,SN Ia,None,SN Ia,SN Ia,SN II,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.13,-99.0
ZTF21aabglax,ZTF21aabglax,ZTF19aaeotin,ZTF20acotynj,ZTFabc53923,ZTFabc32130,ZTFabc00880,ZTFabc35035,ZTF21aarwgjb,ZTF21aavouex,ZTFabc04924,ZTFabc53864,0,233.6276,253.3195,267.7646,270.181,278.4042,287.5942,288.3976,289.9766,293.4055,294.7004,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,None,None,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,None,None,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abtptey,ZTF18abtptey,ZTFabc39305,ZTF20acqcwhj,ZTF21aakffwa,ZTF21aaoeqzs,ZTFabc08304,ZTFabc50037,ZTF21aaxsqht,ZTFabc11429,ZTFabc66691,ZTF18acwwods,0,404.9768,406.7277,407.8735,407.8737,410.6859,415.356,419.3669,423.4331,433.22,439.3908,No_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,No_TNS,Fake,Fake,Yes_TNS,None,SN II,None,None,None,SN II,SN II,None,SN II,SN II,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abfuynz,ZTF21abfuynz,ZTFabc72812,ZTFabc87740,ZTFabc27888,ZTFabc46606,ZTF21aavrvuj,ZTFabc84612,ZTFabc88975,ZTF20acgoxsd,ZTFabc87212,ZTFabc20049,0,390.1118,390.3619,391.437,391.5319,391.9041,393.0482,397.798,398.6968,400.4131,407.1259,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,None,SN II,SN II,SN II,SN II,SN II,SN II,SN II,None,SN II,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,0.064,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abcomqo,ZTF21abcomqo,ZTF19aacyrdk,ZTF21aaepasp,ZTFabc59577,ZTFabc57264,ZTFabc04571,ZTFabc99436,ZTFabc37232,ZTFabc24834,ZTFabc09660,ZTFabc73273,0,265.7725,332.9672,343.4672,346.8276,351.7753,358.715,359.8409,363.848,364.7238,365.9234,Yes_TNS,No_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18adbhsjc,ZTF18adbhsjc,ZTFabc00349,ZTF20acyydhn,ZTF21abkrtgc,ZTFabc47762,ZTF21aajmkhw,ZTF21abiriaq,ZTFabc65153,ZTFabc15018,ZTFabc36765,ZTFabc00826,0,261.148,289.1727,290.3281,295.6357,298.86,302.1175,304.0467,307.1788,309.5258,311.9825,Yes_TNS,Fake,No_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,None,SN Ia,None,None,SN Ia,None,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abctjmq,ZTF21abctjmq,ZTFabc77058,ZTF21abfxjik,ZTFabc94040,ZTF21aalxpnl,ZTFabc66731,ZTFabc19359,ZTF20aceogrp,ZTFabc74098,ZTFabc88663,ZTFabc69418,0,269.7371,310.0415,459.3773,489.8777,500.588,507.3961,515.9629,530.0851,533.1267,542.7166,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,-99.0,-99.0,0.08,-99.0,0.081759,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abporbr,ZTF21abporbr,ZTF21abowuqe,ZTFabc39914,ZTFabc92124,ZTF21aazlqij,ZTF20accodxy,ZTFabc71130,ZTF21abhrpaq,ZTF18abtwqub,ZTF21aayrnqt,ZTFabc62433,0,329.6996,358.8997,396.2861,414.9096,434.9223,439.5961,445.1383,457.1118,476.61,490.2679,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,None,None,SN Ia,SN Ia,None,SN Ia,SN IIn,None,None,None,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,0.075,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acgynyw,ZTF20acgynyw,ZTF21aamxdns,ZTFabc29197,ZTFabc44506,ZTF21aaoevvx,ZTF20acvhwlp,ZTF21aagxmcs,ZTF21abfyjkh,ZTFabc00715,ZTF21abmqpja,ZTF18abnvnqb,0,221.2455,354.0767,366.1558,371.619,375.8433,384.4214,408.9878,442.8724,446.2809,461.9565,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,No_TNS,SN Ia,None,SN Ia,SN Ia,None,None,SN Ia,None,SN Ia,SN Ia,None,0.07,-99.0,-99.0,-99.0,-99.0,-99.0,0.085,-99.0,-99.0,0.1,-99.0
ZTF21aajbgex,ZTF21aajbgex,ZTF21acjdsix,ZTFabc50659,ZTFabc85207,ZTFabc24915,ZTFabc53534,ZTFabc97895,ZTF20acpklid,ZTFabc97169,ZTF20acqcptp,ZTFabc40400,0,349.1965,472.2686,494.108,495.7344,497.271,497.8962,498.3903,502.5028,502.9739,504.0059,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Fake,None,None,SN Ia,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,None,SN Ic-BL,None,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abyiusv,ZTF18abyiusv,ZTFabc98686,ZTF21aaprddk,ZTFabc37004,ZTFabc05237,ZTFabc40160,ZTFabc58739,ZTFabc44161,ZTFabc97390,ZTF21aaxubqf,ZTFabc01929,0,159.9604,164.6829,185.625,247.575,252.9303,252.9866,263.8312,267.684,271.762,276.1494,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,None,SN Ia,SN Ia,SN Ia,TDE,TDE,TDE,TDE,SN IIn,SN Ia,TDE,-99.0,-99.0,0.053,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.073698,-99.0
ZTF21abvbjal,ZTF21abvbjal,ZTF21aayramw,ZTF20acmbffa,ZTFabc34160,ZTFabc56332,ZTFabc87106,ZTFabc22941,ZTFabc61980,ZTFabc28487,ZTFabc69639,ZTFabc73252,0,247.6016,257.1042,326.8249,329.9038,335.4261,339.9315,343.1259,343.5167,346.7112,348.5063,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20aalgshp,ZTF20aalgshp,ZTFabc97251,ZTFabc90852,ZTFabc33579,ZTFabc62703,ZTFabc81602,ZTF20acjdhof,ZTFabc88983,ZTFabc17377,ZTFabc50305,ZTFabc52617,0,168.8543,169.0795,169.761,171.9106,175.4671,186.4819,189.3258,190.1695,190.6554,195.9971,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.152,-99.0,-99.0,-99.0,-99.0
ZTF21aaaybkj,ZTF21aaaybkj,ZTFabc96509,ZTF20acwscli,ZTFabc44934,ZTF18acpeenk,ZTFabc95663,ZTFabc87659,ZTF21aajtqmv,ZTFabc70394,ZTF21aaprevg,ZTF20actvgsy,0,299.1972,302.5122,306.7764,313.3063,324.6927,325.0818,327.4562,329.0451,333.4197,342.806,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,None,SN Ia,None,SN Ia,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.080621,0.10196
ZTF18acvdstg,ZTF18acvdstg,ZTF20acsfean,ZTF21aakerwn,ZTF21aarzrst,ZTF21abjvwdj,ZTFabc34569,ZTFabc13619,ZTF21aalzqav,ZTFabc81220,ZTFabc28916,ZTFabc76413,0,343.2227,361.8433,442.3016,450.2732,458.3682,458.6993,464.6187,475.6149,489.482,489.6143,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,None,None,None,SN II,SN II,SN II,None,SN II,SN II,SN II,-99.0,-99.0,-99.0,-99.0,0.04,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acyroek,ZTF20acyroek,ZTFabc91234,ZTFabc76130,ZTFabc16155,ZTFabc24130,ZTFabc58494,ZTFabc96619,ZTFabc46784,ZTFabc49879,ZTFabc81590,ZTFabc80255,0,335.5048,336.8503,340.9893,345.1375,347.2939,348.7608,349.3043,349.4863,353.4429,354.2966,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acsfcph,ZTF20acsfcph,ZTF21abbuvew,ZTF21abybwdz,ZTF20acudrou,ZTF21aasfvsq,ZTF21aaluqlg,ZTF21aapguda,ZTFabc72583,ZTF21abwukag,ZTF18adbadrj,ZTF21acjnyfp,0,220.4079,285.7863,302.0995,336.7883,337.9686,356.8044,359.3337,361.0826,363.2264,366.9148,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,SN Ia,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aawxqll,ZTF21aawxqll,ZTF20actkupc,ZTFabc62177,ZTFabc01398,ZTFabc95212,ZTFabc50891,ZTFabc29549,ZTFabc67987,ZTFabc05959,ZTFabc59315,ZTFabc61077,0,304.8586,311.528,331.6054,332.5738,332.6077,333.1665,336.8105,337.9112,337.9125,338.1081,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,SN Ia,SN Ia,SN Ia,TDE,SN Ia,TDE,TDE,TDE,TDE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF19aafncke,ZTF19aafncke,ZTFabc97284,ZTFabc21210,ZTFabc59440,ZTFabc95650,ZTFabc22670,ZTFabc84132,ZTFabc05849,ZTFabc28396,ZTFabc60576,ZTFabc37870,0,208.24,209.072,209.1097,212.833,217.8163,223.3176,223.9994,225.3277,226.1773,238.8677,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acgywhr,ZTF20acgywhr,ZTF20acnwjqa,ZTFabc83139,ZTF18abwhsnx,ZTFabc07108,ZTF20adaeagd,ZTF18abhhbki,ZTF21aahhmev,ZTF21aaxvnwd,ZTFabc21364,ZTF21aaisube,0,212.9301,237.8213,275.5486,318.0038,331.8705,339.9256,341.0699,341.4589,362.5139,369.6477,Yes_TNS,Yes_TNS,Fake,No_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,None,None,SN Ia,None,SN II,None,None,None,None,SN II,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18accicnc,ZTF18accicnc,ZTFabc53569,ZTFabc50296,ZTFabc88021,ZTFabc73237,ZTFabc40084,ZTFabc25133,ZTFabc69653,ZTFabc72736,ZTFabc82442,ZTFabc84448,0,276.3579,277.1432,338.881,339.0356,346.3805,349.5947,351.9862,363.2719,365.7742,367.7159,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN IIb,SN IIb,SN IIn,SN IIb,SN IIb,SN IIb,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acnviuc,ZTF20acnviuc,ZTF21aahwcch,ZTF21aahnkgl,ZTF18abuioue,ZTF21achawrf,ZTF20acpzfzk,ZTF21abwymva,ZTF21abowuoq,ZTF20aciudwb,ZTF18absqohp,ZTF21aalrpib,0,239.0637,262.9651,296.8515,302.984,341.4554,372.5288,376.2527,378.5967,378.8283,390.4999,No_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,No_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
